embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
127,4,11,500,127,20,10,6,spectral,10.111847374937497,1.6853078958229162,1.3799210420111194
127,5,11,500,127,20,10,6,spectral,10.505701708025299,1.750950284670883,1.4812129159690812
127,6,11,500,127,20,10,6,spectral,10.274722708039917,1.7124537846733194,1.459470291971229
127,3,12,500,127,20,10,6,spectral,9.878617667010985,1.6464362778351642,1.3994033329654485
127,4,12,500,127,20,10,6,spectral,9.881315791979432,1.6468859653299053,1.4970202089753002
127,5,12,500,127,20,10,6,spectral,10.216794583015144,1.7027990971691906,1.490354917012155
127,6,12,500,127,20,10,6,spectral,10.42044849996455,1.7367414166607584,1.5795018749777228
127,3,13,500,127,20,10,6,spectral,9.913341833977029,1.6522236389961715,1.4062047499464825
127,4,13,500,127,20,10,6,spectral,9.952453459030949,1.6587422431718248,1.357379209017381
127,5,13,500,127,20,10,6,spectral,10.265780083020218,1.7109633471700363,1.436416166019626
127,6,13,500,127,20,10,6,spectral,10.539274499984458,1.7565457499974098,1.4737854589475319
127,3,14,500,127,20,10,6,spectral,9.845354000106454,1.6408923333510756,1.4778639579890296
127,4,14,500,127,20,10,6,spectral,11.01238612504676,1.8353976875077933,1.5318767500575632
127,5,14,500,127,20,10,6,spectral,11.002502375049517,1.8337503958415862,1.5319497080054134
127,6,14,500,127,20,10,6,spectral,11.26305945799686,1.87717657633281,1.5878970420453697
127,3,15,500,127,20,10,6,spectral,10.276623500045389,1.7127705833408982,1.4120750830043107
127,4,15,500,127,20,10,6,spectral,10.526113917003386,1.7543523195005644,1.437235875055194
127,5,15,500,127,20,10,6,spectral,10.77351429197006,1.7955857153283432,1.4873500830726698
127,6,15,500,127,20,10,6,spectral,11.201491542044096,1.8669152570073493,1.5540077920304611
127,3,16,500,127,20,10,6,spectral,10.468039917061105,1.7446733195101842,1.485362624982372
127,4,16,500,127,20,10,6,spectral,10.599813958979212,1.7666356598298687,1.4917674170574173
127,5,16,500,127,20,10,6,spectral,11.044109957991168,1.840684992998528,1.4730977920116857
127,6,16,500,127,20,10,6,spectral,10.979912749957293,1.8299854583262156,1.552830541972071
127,3,17,500,127,20,10,6,spectral,10.469079041969962,1.7448465069949937,1.415820249938406
127,4,17,500,127,20,10,6,spectral,11.22164704091847,1.8702745068197448,1.4611959169851616
127,5,17,500,127,20,10,6,spectral,10.562594417016953,1.7604324028361589,1.4574642090592533
127,6,17,500,127,20,10,6,spectral,10.406422290951014,1.7344037151585023,1.7305210410850123
127,3,18,500,127,20,10,6,spectral,9.958271499956027,1.6597119166593377,1.5932457080343738
127,4,18,500,127,20,10,6,spectral,10.064496000064537,1.677416000010756,1.399072082946077
127,5,18,500,127,20,10,6,spectral,10.368452416034415,1.7280754026724026,1.5388547910843045
127,6,18,500,127,20,10,6,spectral,10.908359416993335,1.8180599028322224,1.5078542500268668
127,3,19,500,127,20,10,6,spectral,9.801074791932479,1.6335124653220798,1.3689400419825688
127,4,19,500,127,20,10,6,spectral,9.896237374981865,1.6493728958303109,1.432714041089639
127,5,19,500,127,20,10,6,spectral,10.396036916063167,1.7326728193438612,1.5916940410388634
127,6,19,500,127,20,10,6,spectral,11.58358524995856,1.93059754165976,1.6011670829029754
174,3,0,500,174,20,10,6,spectral,10.558497750083916,1.759749625013986,1.435991375008598
174,4,0,500,174,20,10,6,spectral,10.19782095903065,1.6996368265051085,1.4600579999387264
174,5,0,500,174,20,10,6,spectral,10.637941790977493,1.772990298496249,1.4820112499874085
174,6,0,500,174,20,10,6,spectral,10.834857666050084,1.8058096110083472,1.519257333013229
174,3,1,500,174,20,10,6,spectral,10.140787957934663,1.6901313263224438,1.4296025410294533
174,4,1,500,174,20,10,6,spectral,10.943249708972871,1.8238749514954786,1.3828649159986526
174,5,1,500,174,20,10,6,spectral,10.8121667499654,1.8020277916609,1.4680688329972327
174,6,1,500,174,20,10,6,spectral,10.89419708296191,1.815699513826985,1.549634666997008
174,3,2,500,174,20,10,6,spectral,10.085123540950008,1.680853923491668,1.537195665994659
174,4,2,500,174,20,10,6,spectral,10.025730874971487,1.6709551458285812,1.4289534169947729
174,5,2,500,174,20,10,6,spectral,10.535612583975308,1.7559354306625512,1.4371619999874383
174,6,2,500,174,20,10,6,spectral,10.74098437500652,1.7901640625010866,1.5738235419848934
174,3,3,500,174,20,10,6,spectral,10.080744583974592,1.6801240973290987,1.424495542072691
174,4,3,500,174,20,10,6,spectral,9.974882083013654,1.6624803471689422,1.4781531660119072
174,5,3,500,174,20,10,6,spectral,10.410231209010817,1.7350385348351363,1.5338519999058917
174,6,3,500,174,20,10,6,spectral,10.895884042023681,1.8159806736706134,1.6043984580319375
174,3,4,500,174,20,10,6,spectral,10.090226374915801,1.6817043958193,1.3486294579925016
174,4,4,500,174,20,10,6,spectral,10.344733624951914,1.724122270825319,1.4660718750674278
174,5,4,500,174,20,10,6,spectral,11.561291207908653,1.9268818679847755,1.6203196669230238
174,6,4,500,174,20,10,6,spectral,11.063594292034395,1.8439323820057325,1.5469363329466432
174,3,5,500,174,20,10,6,spectral,9.992994833970442,1.6654991389950737,1.5183578749420121
174,4,5,500,174,20,10,6,spectral,10.170477542094886,1.6950795903491478,1.447019916959107
174,5,5,500,174,20,10,6,spectral,10.35675212496426,1.72612535416071,1.4845156249357387
174,6,5,500,174,20,10,6,spectral,10.735837874934077,1.789306312489013,1.675252457964234
174,3,6,500,174,20,10,6,spectral,10.047577999997884,1.6745963333329807,1.4074420830002055
174,4,6,500,174,20,10,6,spectral,10.11147812497802,1.6852463541630034,1.339314042008482
174,5,6,500,174,20,10,6,spectral,10.658855332992971,1.776475888832162,1.5157815420534462
174,6,6,500,174,20,10,6,spectral,11.531963207991794,1.9219938679986324,1.7061104170279577
174,3,7,500,174,20,10,6,spectral,11.109268250060268,1.851544708343378,1.560451416997239
