"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SRR5529492"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 63"	
"SRR5529493"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 64"	
"SRR5529494"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 65"	
"SRR5529495"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 66"	
"SRR5529496"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 67"	
"SRR5529497"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 68"	
"SRR5529498"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 69"	
"SRR5529499"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 70"	
"SRR5529500"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 71"	
"SRR5529501"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 72"	
"SRR5529502"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 73"	
"SRR5529503"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 74"	
"SRR5529504"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 75"	
"SRR5529505"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 76"	
"SRR5529506"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 77"	
"SRR5529507"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"12 to 15 week"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"brain without olfactory bulb"		"Cldn5-GFP"		"Brain single cell 78"	
